市场,代码,名称,东财一级行业,东财细分行业,证监会行业,注册/登记地址,办公地址,区/园区,港股通,口径
A股,000007,全新好,交运设备,汽车-汽车销售,房地产业-房地产业,广东省深圳市福田区华强北街道福强社区华强北路1078号现代之窗A座25层,深圳市福田区福田街道深南中路3031号汉国城市商业中心5507-09,福田区,,注册地在深圳
A股,000010,*ST美丽,建筑,基础建设-其他基础建设,建筑业-土木工程建筑业,深圳市宝安中心区宝兴路6号海纳百川总部大厦B座B1701-B1703室,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座1701-1703室,—,,注册地在深圳
A股,000012,南玻A,建材,玻璃-玻璃,制造业-非金属矿物制品业,中国深圳市蛇口工业六路一号南玻大厦,广东省深圳市蛇口工业六路一号南玻大厦,—,,注册地在深圳
A股,000016,*ST康佳A,电子设备,消费电子设备-消费电子设备,制造业-计算机、通信和其他电子设备制造业,深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,南山区,,注册地在深圳
A股,000017,深中华A,轻工制造,珠宝首饰-珠宝首饰,制造业-文教、工美、体育和娱乐用品制造业,深圳市罗湖区布心路3008号,深圳市罗湖区翠竹街道贝丽北路89号水贝金座大厦8楼,罗湖区,,注册地在深圳
A股,000019,深粮控股,商贸零售,贸易-贸易,批发和零售业-批发业,深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,深圳市福田区福虹路9号世贸广场A座13楼,南山区,,注册地在深圳
A股,000020,深华发A,电子设备,电子器件-显示器件,制造业-计算机、通信和其他电子设备制造业,中国广东省深圳市福田区华发北路411栋,深圳市福田区华发北路411栋华发大厦东座6楼,福田区,,注册地在深圳
A股,000021,深科技,信息技术,计算机硬件-PC、服务器及硬件,制造业-计算机、通信和其他电子设备制造业,深圳市福田区彩田路7006号,广东省深圳市福田区彩田路7006号,福田区,,注册地在深圳
A股,000025,特力A,轻工制造,珠宝首饰-珠宝首饰,批发和零售业-批发业,深圳市罗湖区水贝二路五十六号特力大厦三楼,深圳市罗湖区水贝二路五十六号特力大厦三、四楼,罗湖区,,注册地在深圳
A股,000026,飞亚达,轻工制造,珠宝首饰-珠宝首饰,批发和零售业-零售业,深圳市南山区高新南一道飞亚达科技大厦,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,南山区,,注册地在深圳
A股,000027,深圳能源,公用事业,电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,深圳市福田区福田街道金田路2026号能源大厦北塔楼9层、29-31层、34-41层,福田区,,注册地在深圳
A股,000028,国药一致,医药生物,医药商业-医药商业,批发和零售业-批发业,广东省深圳市福田区八卦四路15号一致药业大厦,"广东省深圳市福田区园岭街道八卦四路15号一致药业大厦,广东省广州市荔湾区站前路22号医药大厦11楼",福田区,,注册地在深圳
A股,000032,深桑达A,建筑,建筑施工-专业工程,建筑业-建筑安装业,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,南山区,,注册地在深圳
A股,000034,神州数码,信息技术,计算机软件-其他软件服务,批发和零售业-批发业,深圳市南山区沙河街道东方社区深湾二路82号神州数码国际创新中心东塔3801,北京市海淀区上地九街九号数码科技广场,南山区,,注册地在深圳
A股,000037,深南电A,公用事业,电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,广东省深圳市南山区月亮湾大道2097号,广东省深圳市南山区华侨城汉唐大厦16、17楼,南山区,,注册地在深圳
A股,000039,中集集团,交运设备,其他交运设备-其他交运设备,制造业-金属制品业,中国广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,"中国广东省深圳市南山区蛇口港湾大道2号中集集团研发中心8楼,香港德辅道中199号无限极广场3101-2室",南山区,,注册地在深圳
A股,000045,深纺织A,电子设备,电子器件-显示器件,制造业-计算机、通信和其他电子设备制造业,深圳市前海深港合作区南山街道恒升街2号中国国有资本风投大厦A塔A3604,深圳市福田区华强北路3号深纺大厦A座六楼,前海深港合作区,,注册地在深圳
