市场,代码,名称,东财一级行业,东财细分行业,证监会行业,注册/登记地址,办公地址,区/园区,港股通,口径
A股,000429,粤高速A,交通运输,公路铁路-高速公路,交通运输、仓储和邮政业-道路运输业,广东省广州市白云路85号,广州市天河区珠江新城珠江东路32号利通广场45-46层,白云区,,注册地在广州
A股,000523,红棉股份,食品饮料,食品-调味品,制造业-农副食品加工业,广州市天河区黄埔大道西100号之二1907-1908房,广州市天河区黄埔大道西100号之二1907-1908房,天河区,,注册地在广州
A股,000524,岭南控股,休闲、生活及专业服务,休闲服务-旅游服务,租赁和商务服务业-商务服务业,广东省广州市流花路120号,广州市越秀区流花路122号自编1-4栋中国大酒店商业大厦C8楼,—,,注册地在广州
A股,000529,广弘控股,食品饮料,食品-肉制品,制造业-农副食品加工业,广州市天河区广州大道北路520号,广东省广州市东风中路437号越秀城市广场南塔37楼,天河区,,注册地在广州
A股,000531,穗恒运A,公用事业,电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,广州开发区西基路8号(A厂),广州市黄埔区科学大道251号,—,,注册地在广州
A股,000539,粤电力A,公用事业,电力-火电,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,中华人民共和国广东省广州市天河东路2号粤电广场南塔33-36楼,广东省广州市天河东路2号粤电广场南塔33-36楼,天河区,,注册地在广州
A股,000676,智度股份,文化传媒,营销服务-营销服务,租赁和商务服务业-商务服务业,广州市花都区新雅街凤凰南路56之三401室(部位之8),广州市花都区新雅街凤凰南路56之三401室,花都区,,注册地在广州
A股,000893,亚钾国际,基础化工,化肥农药-钾肥,制造业-化学原料和化学制品制造业,广州市南沙区庆慧中路1号、创智三街1号A3栋50103,"广州市南沙区庆慧中路1号、创智三街1号A3栋50103,广州市天河区珠江东路6号广州周大福金融中心51楼",南沙区,,注册地在广州
A股,001229,魅视科技,电子设备,电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业,广州市白云区启德路83号魅视科技大厦首层,广州市白云区启德路83号魅视科技大厦,白云区,,注册地在广州
A股,001285,瑞立科密,交运设备,汽车-汽车零部件,制造业-计算机、通信和其他电子设备制造业,广州经济技术开发区科学城南翔支路1号,广州经济技术开发区科学城南翔支路1号,广州开发区,,注册地在广州
A股,001338,永顺泰,食品饮料,饮料-啤酒,制造业-酒、饮料和精制茶制造业,广州黄埔区创业路2号,中国广州经济技术开发区金华西街1号,黄埔区,,注册地在广州
A股,001389,广合科技,电子设备,电子元件-电子元件,制造业-计算机、通信和其他电子设备制造业,广州保税区保盈南路22号,"广州保税区保盈南路22号,香港铜锣湾希慎道33号利园一期19楼1928室",广州保税区,,注册地在广州
A股,002030,达安基因,医药生物,生物医药-生物医药,制造业-医药制造业,广州市高新技术开发区科学城香山路19号,广东省广州市高新技术开发区科学城香山路19号,—,,注册地在广州
A股,002045,国光电器,电子设备,电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业,广州市花都区新华街镜湖大道8号,广东省广州市花都区新雅街镜湖大道8号,花都区,,注册地在广州
A股,002060,广东建工,建筑,基础建设-其他基础建设,建筑业-土木工程建筑业,广东省广州市增城区新塘镇广深大道西1号1幢水电广场A-1商务中心20层,广东省广州市荔湾区流花路85号建工大楼9楼,增城区,,注册地在广州
A股,002084,海鸥住工,机械设备,金属制品-金属制品,制造业-金属制品业,广州市番禺区沙头街禺山西路363号,广东省广州市番禺区沙头街禺山西路363号联邦工业城内,番禺区,,注册地在广州
A股,002152,广电运通,信息技术,计算机硬件-专用计算机设备,制造业-计算机、通信和其他电子设备制造业,广州市高新技术产业开发区科学城科林路9、11号,广东省广州市高新技术产业开发区科学城科林路9、11号,广州高新区,,注册地在广州
A股,002169,智光电气,电气设备,输变电设备-电气自控设备,制造业-电气机械和器材制造业,广州市黄埔区云埔工业区埔南路51号,广州市黄埔区瑞和路89号,黄埔区,,注册地在广州
A股,002177,御银股份,房地产,房地产服务-房地产服务,制造业-专用设备制造业,广州市天河区高唐路234号901房,广州市天河区高唐路234号9层,天河区,,注册地在广州
A股,002181,粤传媒,文化传媒,平面媒体-平面媒体,租赁和商务服务业-商务服务业,广州市海珠区芳园路138号粤传媒大厦30层3001室,广州市海珠区芳园路138号粤传媒大厦30层3001室,海珠区,,注册地在广州
A股,002187,广百股份,商贸零售,零售-百货,批发和零售业-零售业,广东省广州市越秀区西湖路12号,广东省广州市越秀区西湖路12号10-12楼,越秀区,,注册地在广州
