code,name,industry,price,pe,pb,mktcap_yi,nmc_yi,rev_26h1,rev_25h1,rev_yoy_calc,np_26h1,np_25h1,np_yoy_calc,gm_26h1,gm_25h1,gm_chg_pp,roe_26h1,fin_err
688256,寒武纪科技,软件和信息技术服务业,1091.48,221.396,50.635,6863.82,6863.82,59.9557,28.8064,108.13,23.1091,10.3808,122.61,55.250573,55.925353,-0.67,18.05,
600406,国电南瑞,软件和信息技术服务业,22.27,21.413,3.435,1788.67,1783.42,277.6719,242.4321,14.54,30.7269,29.5219,4.08,25.339295,26.45032,-1.11,5.73,
688702,盛科通信,软件和信息技术服务业,328.5,-887.838,59.848,1346.85,686.69,6.7068,5.0795,32.04,-0.1757,-0.2369,25.83,43.968635,46.698776,-2.73,-0.78,
300442,润泽科技,软件和信息技术服务业,68.01,22.67,7.701,1116.07,1112.8,37.4569,24.9622,50.05,12.0345,8.8212,36.43,46.580711,49.395757,-2.82,8.47,
688521,芯原微电子,软件和信息技术服务业,207.45,-201.408,37.293,1091.01,1091.01,18.6354,9.738,91.37,-6.1213,-3.1985,-91.38,31.342202,43.323789,-11.98,-19.29,
002602,世纪华通,软件和信息技术服务业,14.23,18.244,3.065,1048.85,967.19,221.1704,172.0709,28.53,45.0272,26.5638,69.51,72.687249,69.497704,3.19,13.87,
688111,金山办公,软件和信息技术服务业,222.03,55.927,6.833,1030.25,1030.25,33.1326,26.5712,24.69,25.1759,7.472,236.94,84.895308,85.031921,-0.14,17.76,
002230,科大讯飞,软件和信息技术服务业,38.32,106.444,4.03,920.48,839.2,116.2277,109.1094,6.52,-2.0384,-2.3893,14.69,39.754421,40.229149,-0.47,-0.99,
301638,南网数字,软件和信息技术服务业,21.1,91.739,6.026,670.91,52.8,22.1771,15.577,42.37,2.0243,0.1303,1453.57,34.623239,33.175458,1.45,1.81,
688777,中控技术,软件和信息技术服务业,80.02,142.893,6.424,633.11,629.92,36.3496,38.3024,-5.1,1.5509,3.5408,-56.2,31.665627,32.080259,-0.41,1.55,
601360,XD三六零,互联网和相关服务,8.95,223.75,2.218,626.46,626.46,41.7212,38.2714,9.01,2.1569,-2.8178,176.55,69.662368,66.545401,3.12,0.74,
