code,name,tier,group,mktcap_yi,pe,pb,rev_26h1,rev_yoy_calc,np_26h1,gm_26h1,gm_chg_pp
688256,寒武纪科技,剔除,芯片/半导体设计,6863.82,221.396,50.635,59.9557,108.13,23.1091,55.250573,-0.67
600406,国电南瑞,剔除,嵌入式/电力·轨交·军工硬件,1788.67,21.413,3.435,277.6719,14.54,30.7269,25.339295,-1.11
688702,盛科通信,剔除,芯片/半导体设计,1346.85,-887.838,59.848,6.7068,32.04,-0.1757,43.968635,-2.73
300442,润泽科技,剔除,IDC/算力租赁/机房,1116.07,22.67,7.701,37.4569,50.05,12.0345,46.580711,-2.82
688521,芯原微电子,剔除,芯片/半导体设计,1091.01,-201.408,37.293,18.6354,91.37,-6.1213,31.342202,-11.98
002602,世纪华通,剔除,游戏,1048.85,18.244,3.065,221.1704,28.53,45.0272,72.687249,3.19
688111,金山办公,核心,办公与工具软件,1030.25,55.927,6.833,33.1326,24.69,25.1759,84.895308,-0.14
002230,科大讯飞,核心,AI 原生/智能应用,920.48,106.444,4.03,116.2277,6.52,-2.0384,39.754421,-0.47
301638,南网数字,核心,AI 原生/智能应用,670.91,91.739,6.026,22.1771,42.37,2.0243,34.623239,1.45
688777,中控技术,核心,工业/研发设计软件,633.11,142.893,6.424,36.3496,-5.1,1.5509,31.665627,-0.41
601360,XD三六零,核心,网络安全,626.46,223.75,2.218,41.7212,9.01,2.1569,69.662368,3.12
300454,深信服,核心,网络安全,612.77,152.677,5.533,39.9787,32.85,2.3123,60.888758,-1.2
300418,昆仑万维,观望,软硬一体/垂直信息化,536.63,-32.625,3.626,53.592,43.55,10.8801,65.575385,-4.3
600845,宝信软件,核心,基础软件/数据库/云,521.85,39.956,4.707,56.3188,19.45,7.0678,29.784273,-5.21
301269,华大九天,核心,工业/研发设计软件,479.72,796.0,9.266,5.6646,12.94,-0.4506,87.482732,-1.64
688536,思瑞浦股份,剔除,芯片/半导体设计,478.86,266.777,7.233,16.0582,69.19,3.0776,49.003901,2.62
002558,巨人网络,剔除,游戏,448.91,25.128,2.668,46.8873,182.08,21.443,95.789993,5.01
688052,纳芯微电子,剔除,芯片/半导体设计,413.68,-158.131,5.343,25.4042,66.73,0.6759,32.089718,-3.12
