layer3,src,market,code,name,mktcap_yi,pe,rev,yoy,np_,gm,gm_chg
② 本体层（吃不到·赋能）,L1,A,301638,南网数字,670.91,91.739,22.1771,42.37,2.0243,34.623239,1.45
② 本体层（吃不到·赋能）,L1,A,301095,广立微,150.13,166.578,3.4107,38.68,0.3478,60.398613,1.82
② 本体层（吃不到·赋能）,L1,A,300348,长亮科技,75.06,363.78,8.3675,25.92,-0.4465,26.957811,-4.99
② 本体层（吃不到·赋能）,L1,A,600845,宝信软件,521.85,39.956,56.3188,19.45,7.0678,29.784273,-5.21
② 本体层（吃不到·赋能）,L1,A,300253,卫宁健康,151.89,-40.78,9.9441,18.5,-1.764,33.667778,-2.74
② 本体层（吃不到·赋能）,L1,A,688188,上海柏楚电子科技,386.29,24.676,12.7825,15.84,7.8715,73.928625,-4.9
② 本体层（吃不到·赋能）,L1,A,301269,华大九天,479.72,796.0,5.6646,12.94,-0.4506,87.482732,-1.64
② 本体层（吃不到·赋能）,L1,A,688206,概伦电子,195.36,459.875,2.4039,10.05,-0.0673,85.120594,-6.52
② 本体层（吃不到·赋能）,L1,A,603171,税友股份,162.44,117.706,10.1208,9.72,0.94,62.227168,3.17
② 本体层（吃不到·赋能）,L1,A,002230,科大讯飞,920.48,106.444,116.2277,6.52,-2.0384,39.754421,-0.47
② 本体层（吃不到·赋能）,L1,HK,00696,中国民航信息网络,255.0,9.2,41.12,5.6,23.42,nan,nan
② 本体层（吃不到·赋能）,L1,A,603039,泛微网络,109.77,31.298,8.4862,5.04,1.1475,94.240255,0.31
② 本体层（吃不到·赋能）,L1,A,600588,用友网络,317.78,-22.683,37.271,4.08,-9.285,50.891121,2.56
② 本体层（吃不到·赋能）,L1,A,002153,石基信息,203.6,-124.333,12.6911,1.56,0.257,48.421166,0.98
② 本体层（吃不到·赋能）,L1,A,002063,远光软件,99.99,33.164,10.6057,0.54,0.7566,49.020358,-3.5
② 本体层（吃不到·赋能）,L1,A,688777,中控技术,633.11,142.893,36.3496,-5.1,1.5509,31.665627,-0.41
