code,name,src,date,close,pct250,dd_h250,amp120,low20,chg60,chg20,bars
09896,名创优品,AK,2026-09-24,17.57,2.0,-63.2,90.9,1,-24.9,-18.1,426
000893,亚钾国际,AK,2026-09-24,37.65,6.1,-45.5,65.8,0,-9.9,-22.0,421
002709,天赐材料,AK,2026-09-24,32.24,8.7,-49.5,98.2,0,-41.1,-13.3,421
300482,万孚生物,AK,2026-09-24,16.59,10.6,-34.5,33.3,1,-2.6,1.0,421
001285,瑞立科密,AK,2026-09-24,42.8,15.6,-31.9,38.6,0,0.1,-5.4,229
301283,聚胶股份,AK,2026-09-24,26.0,16.2,-38.0,44.9,0,3.2,3.5,421
301638,南网数字,AK,2026-09-24,21.35,17.5,-39.3,52.8,0,-8.5,-7.8,210
603193,润本股份,AK,2026-09-24,20.38,20.7,-30.4,44.4,0,7.5,0.6,421
301683,慧谷新材,AK,2026-09-24,102.81,21.3,-30.2,62.2,1,-27.9,0.6,122
002967,广电计量,AK,2026-09-24,17.76,21.7,-28.3,41.0,0,-4.9,3.2,421
002461,珠江啤酒,AK,2026-09-24,8.24,25.0,-19.6,35.4,0,6.5,-4.5,421
01860,汇量科技,AK,2026-09-24,12.5,25.4,-40.4,89.0,1,15.1,17.4,426
003010,若羽臣,AK,2026-09-24,29.08,27.8,-39.2,50.3,0,15.9,-6.5,421
002030,达安基因,AK,2026-09-24,5.68,28.3,-26.3,49.6,0,9.4,1.1,421
300438,鹏辉能源,AK,2026-09-24,49.69,29.9,-46.0,87.1,0,-36.9,-20.3,421
688177,百奥泰,AK,2026-09-24,20.97,32.1,-32.9,54.7,0,17.9,11.9,421
002192,融捷股份,AK,2026-09-24,60.18,34.2,-45.8,97.9,0,-33.2,-18.3,421
01681,康臣药业,AK,2026-09-24,14.39,35.3,-22.6,37.0,0,12.9,7.3,426
300503,昊志机电,AK,2026-09-24,66.52,47.5,-40.1,112.6,0,-29.9,-3.5,421
603233,大参林,AK,2026-09-24,17.78,49.8,-14.4,33.0,0,9.1,0.3,421
002209,达意隆,AK,2026-09-24,13.48,51.1,-21.9,80.8,0,28.0,3.1,421
301323,新莱福,AK,2026-09-24,78.39,51.6,-27.7,77.9,0,-3.0,13.1,411
603882,金域医学,AK,2026-09-24,29.51,52.5,-18.4,42.0,0,26.0,5.5,421
688548,广钢气体,AK,2026-09-24,34.19,52.6,-37.8,139.2,0,-30.5,-5.2,421
000429,粤高速A,AK,2026-09-24,12.55,56.2,-13.2,21.8,0,-5.0,-6.6,421
603983,丸美生物,AK,2026-09-24,31.87,56.7,-20.5,64.7,0,15.8,17.5,421
002833,弘亚数控,AK,2026-09-24,18.59,58.7,-13.2,39.9,0,1.9,1.9,421
301373,凌玮科技,AK,2026-09-24,135.02,63.9,-30.7,184.4,0,-7.8,15.8,421
603002,宏昌电子,AK,2026-09-24,19.37,64.8,-26.2,170.7,0,-15.0,14.5,421
001389,广合科技,AK,2026-09-24,180.5,67.6,-23.7,108.4,0,-8.0,14.3,421
688090,瑞松科技,AK,2026-09-24,84.61,67.6,-25.0,147.9,0,-13.2,13.0,421
688625,呈和科技,AK,2026-09-24,73.76,70.3,-22.6,152.4,0,-5.0,34.6,421
002841,视源股份,AK,2026-09-24,45.9,71.2,-11.6,67.7,0,31.0,-1.3,421
600428,中远海特,AK,2026-09-24,11.16,84.2,-7.7,68.9,0,35.9,1.6,421
002832,比音勒芬,AK,2026-09-24,25.51,91.2,-4.1,64.7,0,19.2,6.2,421
